Title,Company,Salary_Range
Civil/Structural Engineer,BMB Nigeria LTD,"75,000 - 150,000"
Home Tutor,Tuteria,"75,000 - 150,000"
Agronomist/Supervisor,Pavilion MG Farms,"75,000 - 150,000"
DevOps Practitioner,Pairview Ltd,"150,000 - 250,000"
Artificial Intelligence/Machine Learning Engineer,Palm Spring City West Africa,"75,000 - 150,000"
Front End Developer,Krystal Digital Solutions Limited,"75,000 - 150,000"
Inventory Management & Data Analyst,CallTel Communications Limited,"75,000 - 150,000"
Mobile App Developer,E-direct.ng Essential Nigeria Limited,"150,000 - 250,000"
UI/UX Designer,SMARTROB Technologies,"75,000 - 150,000"
CMMS (Computerized Maintenance Management System) Engineer,GUC Limited,"250,000 - 400,000"
UI/UX Designer,E-direct.ng Essential Nigeria Limited,"75,000 - 150,000"
QA Game Tester,LUP Investment Company LTD,"75,000 - 150,000"
Technical Product Manager,Frontlett Ltd,"75,000 - 150,000"
Data Analysis/Digital Marketing Trainer,Safehands Soluxions,"Less than 75,000"
Woocomerce Developer,Frontlett Ltd,"75,000 - 150,000"
Zoho One Integrator,Frontlett Ltd,"75,000 - 150,000"
WordPress Developer,Sadnan Delivery Ltd,"75,000 - 150,000"
DevOps Engineer (AWS),Frontlett Ltd,"75,000 - 150,000"
Web Marketers & Technical Sales Officer,Frontlett Ltd,"75,000 - 150,000"
